Date,ret,RM-Rf,SMB,HML,RMW,CMA,Lag1,Lag2,Lag3,Lag4,Lag5
5/16/2016,0.991042237,0.99,0.22,-0.25,-0.08,-0.26,-0.867696832,-0.037986048,-0.916326122,1.182438476,0.104730797
5/17/2016,-0.904888659,-0.95,-0.71,0.62,-0.15,-0.11,0.991042237,-0.867696832,-0.037986048,-0.916326122,1.182438476
5/18/2016,-0.009583863,0.1,0.17,0.89,-1.33,-0.65,-0.904888659,0.991042237,-0.867696832,-0.037986048,-0.916326122
5/19/2016,-0.393111911,-0.33,-0.33,-0.26,0.36,0.03,-0.009583863,-0.904888659,0.991042237,-0.867696832,-0.037986048
5/20/2016,0.765631047,0.75,0.85,-0.26,-0.4,-0.39,-0.393111911,-0.009583863,-0.904888659,0.991042237,-0.867696832
5/23/2016,-0.124007679,-0.18,0.25,-0.33,-0.23,0.14,0.765631047,-0.393111911,-0.009583863,-0.904888659,0.991042237
5/24/2016,1.327541371,1.43,0.64,-0.34,-0.1,-0.39,-0.124007679,0.765631047,-0.393111911,-0.009583863,-0.904888659
5/25/2016,0.722680856,0.72,-0.13,0.56,0.21,-0.15,1.327541371,-0.124007679,0.765631047,-0.393111911,-0.009583863
5/26/2016,-0.018710006,-0.04,-0.16,-0.53,0.16,-0.2,0.722680856,1.327541371,-0.124007679,0.765631047,-0.393111911
5/27/2016,0.44797809,0.49,0.36,-0.17,-0.12,-0.09,-0.018710006,0.722680856,1.327541371,-0.124007679,0.765631047
5/31/2016,-0.046561603,-0.01,0.47,-0.36,-0.2,-0.28,0.44797809,-0.018710006,0.722680856,1.327541371,-0.124007679
6/1/2016,0.269800322,0.2,0.62,-0.2,-0.29,0.02,-0.046561603,0.44797809,-0.018710006,0.722680856,1.327541371
